user_id, trial_type, target_distance, target_start_pos, sw_pos_x, sw_pos_y, sw_pos_z, sw_rot_x, sw_rot_y, sw_rot_z, sw_rot_w, finger_relative_pos_x, finger_relative_pos_y, finger_relative_pos_z, target_local_x, target_local_y, target_local_z, nr_of_clutches, is_panning, timestamp, task_number
user3,midair,long,0_10,-0.1507,0.8215,-0.3521,0.0704,0.0238,0.0455,-0.9962,0.0263,0.0572,0.0083,0.0000,0.0005,1.0000,0,0,1.6103,12
user3,midair,long,0_10,-0.1507,0.8215,-0.3521,0.0704,0.0233,0.0460,-0.9962,0.0246,0.0568,0.0077,0.0000,0.0005,1.0000,0,0,1.6358,12
user3,midair,long,0_10,-0.1507,0.8216,-0.3521,0.0704,0.0228,0.0465,-0.9962,0.0230,0.0564,0.0071,0.0000,0.0005,1.0000,0,0,1.6382,12
user3,midair,long,0_10,-0.1506,0.8216,-0.3520,0.0703,0.0224,0.0470,-0.9962,0.0215,0.0559,0.0066,0.0000,0.0005,1.0000,0,0,1.6524,12
user3,midair,long,0_10,-0.1506,0.8217,-0.3520,0.0704,0.0220,0.0477,-0.9961,0.0201,0.0555,0.0061,0.0000,0.0005,1.0000,0,0,1.6696,12
user3,midair,long,0_10,-0.1506,0.8218,-0.3520,0.0705,0.0215,0.0482,-0.9961,0.0187,0.0551,0.0057,0.0000,0.0005,1.0000,0,0,1.6871,12
user3,midair,long,0_10,-0.1505,0.8219,-0.3521,0.0706,0.0209,0.0486,-0.9961,0.0174,0.0547,0.0053,0.0000,0.0005,1.0000,0,0,1.7022,12
user3,midair,long,0_10,-0.1504,0.8220,-0.3522,0.0708,0.0203,0.0490,-0.9961,0.0162,0.0544,0.0051,0.0000,0.0005,1.0000,1,1,1.7400,12
user3,midair,long,0_10,-0.1504,0.8221,-0.3523,0.0711,0.0196,0.0494,-0.9961,0.0151,0.0540,0.0048,-0.0023,0.0005,0.9995,1,1,1.7436,12
user3,midair,long,0_10,-0.1503,0.8222,-0.3524,0.0713,0.0190,0.0498,-0.9960,0.0140,0.0537,0.0046,-0.0034,0.0005,0.9993,1,1,1.7529,12
user3,midair,long,0_10,-0.1503,0.8222,-0.3525,0.0716,0.0184,0.0502,-0.9960,0.0130,0.0534,0.0044,-0.0045,0.0005,0.9991,1,1,1.7685,12
user3,midair,long,0_10,-0.1503,0.8223,-0.3526,0.0718,0.0179,0.0506,-0.9960,0.0120,0.0532,0.0042,-0.0054,0.0005,0.9989,1,1,1.7849,12
user3,midair,long,0_10,-0.1502,0.8224,-0.3527,0.0720,0.0174,0.0511,-0.9959,0.0111,0.0530,0.0040,-0.0063,0.0005,0.9987,1,1,1.8022,12
user3,midair,long,0_10,-0.1502,0.8225,-0.3528,0.0722,0.0169,0.0514,-0.9959,0.0103,0.0528,0.0039,-0.0072,0.0005,0.9985,1,1,1.8188,12
user3,midair,long,0_10,-0.1502,0.8226,-0.3528,0.0724,0.0166,0.0517,-0.9959,0.0095,0.0527,0.0037,-0.0080,0.0005,0.9983,1,1,1.8352,12
user3,midair,long,0_10,-0.1502,0.8226,-0.3529,0.0726,0.0163,0.0520,-0.9959,0.0087,0.0527,0.0035,-0.0087,0.0005,0.9981,1,1,1.8536,12
user3,midair,long,0_10,-0.1502,0.8227,-0.3529,0.0726,0.0160,0.0523,-0.9959,0.0080,0.0527,0.0033,-0.0094,0.0005,0.9979,1,1,1.8682,12
user3,midair,long,0_10,-0.1502,0.8227,-0.3530,0.0727,0.0157,0.0526,-0.9958,0.0073,0.0527,0.0031,-0.0101,0.0005,0.9978,1,1,1.8844,12
user3,midair,long,0_10,-0.1502,0.8228,-0.3530,0.0729,0.0155,0.0528,-0.9958,0.0067,0.0528,0.0029,-0.0107,0.0005,0.9976,1,1,1.9023,12
user3,midair,long,0_10,-0.1502,0.8228,-0.3531,0.0730,0.0152,0.0531,-0.9958,0.0061,0.0528,0.0027,-0.0114,0.0005,0.9974,1,1,1.9185,12
user3,midair,long,0_10,-0.1502,0.8229,-0.3532,0.0732,0.0150,0.0531,-0.9958,0.0055,0.0529,0.0026,-0.0119,0.0005,0.9972,1,1,1.9352,12
user3,midair,long,0_10,-0.1502,0.8229,-0.3532,0.0734,0.0148,0.0530,-0.9958,0.0050,0.0530,0.0024,-0.0124,0.0005,0.9971,1,1,1.9533,12
user3,midair,long,0_10,-0.1502,0.8229,-0.3533,0.0736,0.0146,0.0529,-0.9958,0.0045,0.0531,0.0022,-0.0129,0.0005,0.9969,1,1,1.9681,12
user3,midair,long,0_10,-0.1503,0.8230,-0.3534,0.0738,0.0145,0.0529,-0.9958,0.0041,0.0531,0.0021,-0.0134,0.0005,0.9968,1,1,1.9848,12
