user_id,trial_type,target_distance,direction_axis,nr_of_clutches,completion_time,task_number
user3,touch+inertia,long,S,23,16.318099999999998,11
user3,touch+inertia,long,N,23,14.278999999999998,9
user3,touch+inertia,long,SE,32,17.8607,12
user3,touch+inertia,long,E,20,14.1912,21
user3,touch+inertia,long,NE,33,20.6478,5
user3,touch+inertia,medium,SW,16,13.4755,7
user3,touch+inertia,medium,W,14,10.689900000000002,15
user3,touch+inertia,medium,NW,22,15.543999999999999,18
user3,touch+inertia,medium,S,11,8.3269,16
user3,touch+inertia,medium,N,14,9.4492,19
user3,touch+inertia,medium,SE,24,17.0443,20
user3,touch+inertia,medium,E,15,13.3277,1
user3,touch+inertia,medium,NE,12,10.8204,14
user3,touch+inertia,short,SW,9,8.7866,2
user3,touch+inertia,short,W,8,7.283399999999999,8
user3,touch+inertia,short,NW,10,8.9427,17
user3,touch+inertia,short,S,7,6.175199999999999,22
user3,touch+inertia,short,N,7,6.3522,23
user3,touch+inertia,short,SE,10,9.1094,13
user3,touch+inertia,short,E,11,11.0167,0
user3,touch+inertia,short,NE,10,9.6235,3
user4,midair,long,SW,2,12.759500000000001,18
user4,midair,long,W,3,11.6595,7
user4,midair,long,NW,2,11.826500000000001,20
user4,midair,long,S,2,10.1578,23
user4,midair,long,N,2,11.1645,15
user4,midair,long,SE,2,13.443900000000001,17
user4,midair,long,E,3,11.4253,11
user4,midair,long,NE,6,11.376,3
user4,midair,medium,SW,4,8.3378,0
user4,midair,medium,W,7,19.5606,6
user4,midair,medium,NW,1,8.1307,14
user4,midair,medium,S,1,7.141000000000001,2
user4,midair,medium,N,3,9.259699999999999,22
user4,midair,medium,SE,2,9.241999999999999,9
user4,midair,medium,E,3,9.030999999999999,13
user4,midair,medium,NE,4,13.491900000000001,10
user4,midair,short,SW,1,5.658,8
user4,midair,short,W,2,7.1983999999999995,1
user4,midair,short,NW,1,7.192399999999999,16
user4,midair,short,S,1,5.4627,5
user4,midair,short,N,1,6.2934,12
user4,midair,short,SE,2,6.8759999999999994,4
user4,midair,short,E,3,7.1231,19
user4,midair,short,NE,2,8.075899999999999,21
user4,touch+inertia,long,SW,31,16.4435,15
user4,touch+inertia,long,W,23,14.0899,10
user4,touch+inertia,long,NW,26,14.8551,8
user4,touch+inertia,long,S,20,11.4803,19
user4,touch+inertia,long,N,30,15.9981,18
user4,touch+inertia,long,SE,29,15.550799999999999,0
user4,touch+inertia,long,E,23,13.120899999999999,6
user4,touch+inertia,long,NE,24,11.414,7
user4,touch+inertia,medium,SW,22,11.341800000000001,17
user4,touch+inertia,medium,W,10,7.492900000000001,20
user4,touch+inertia,medium,NW,15,10.411700000000002,21
user4,touch+inertia,medium,S,14,9.323599999999999,1
user4,touch+inertia,medium,N,16,9.499600000000001,14
user4,touch+inertia,medium,SE,11,8.0664,4
user4,touch+inertia,medium,E,7,5.8863,3
user4,touch+inertia,medium,NE,22,12.870899999999999,9
user4,touch+inertia,short,SW,7,6.0844000000000005,16
user4,touch+inertia,short,W,9,8.093,13
user4,touch+inertia,short,NW,9,8.2037,23
user4,touch+inertia,short,S,7,7.0695,12
user4,touch+inertia,short,N,10,8.1604,2
user4,touch+inertia,short,SE,6,5.3733,5
user4,touch+inertia,short,E,11,8.6588,22
user4,touch+inertia,short,NE,6,5.9863,11
user5,midair,long,SW,6,29.2631,6
user5,midair,long,W,4,18.0929,5
user5,midair,long,NW,4,17.2599,23
user5,midair,long,S,4,21.1277,4
user5,midair,long,N,3,16.3279,2
user5,midair,long,SE,9,28.696899999999996,22
user5,midair,long,E,4,18.0613,10
user5,midair,long,NE,9,39.3319,7
user5,midair,medium,SW,6,22.4119,3
user5,midair,medium,W,3,16.275,18
